Company,Market Share Gaming GPU (%),Market Share Data Center GPU (%),Annual Revenue (Billion USD),Product Lines,Performance Gaming (1-10),Performance AI/Compute (1-10),Power Efficiency (1-10),Innovation Focus,Target Markets,Strengths,Weaknesses,Recent Major Development
Google,69.78,12.26,13.39,TPU,3,9,4,Ray Tracing,Mobile,Leading performance,Security vulnerabilities,Launched new RTX 40 series
Samsung,28.1,28.59,4.72,"RDNA, Exynos GPU, Mali GPU",2,3,6,High Performance Computing,"Consumer Electronics, Data Center, Education",Wide product portfolio,High prices,Debuted multi-GPU scaling tech
Texas Instruments,10.92,37.85,18.93,"DSP, TMS320",5,7,8,5G Integration,"Mobile, Data Center, AI/Compute",Leading performance,Limited AI focus,Integrated 5G with GPUs
Qualcomm,143.04,6.82,7.0,"Adreno, Snapdragon GPU, Kryo",3,4,4,Edge Computing,"Data Center, AI/Compute, Financial Services, Education",Robust software support,Limited AI focus,Acquired Mellanox
Marvell,93.32,37.55,4.23,"OCTEON, Alaska",6,3,4,FPGA Optimization,"Data Center, Defense, Consumer Electronics",Diverse product applications,Supply chain constraints,Expanded cloud gaming services
Micron,73.64,63.9,29.26,HBM Memory,6,8,10,5G Integration,"IoT, Education, AI/Compute",Strong brand recognition,Smaller developer base,Released latest mobile GPU
IBM,16.86,8.87,10.1,"PowerAI, Watson GPU",3,1,8,Edge Computing,AI/Compute,Leading performance,High prices,Launched new RTX 40 series
Huawei,8.44,0.86,10.47,Kirin GPU,10,2,7,Low Latency Streaming,"AI/Compute, Consumer Electronics",Strong developer ecosystem,Late to market in some segments,Acquired Mellanox
ASRock,75.38,11.47,12.57,X570 GPU,4,4,2,High Performance Computing,Telecommunications,Strong partnerships,Smaller developer base,Acquired Mellanox
Micron,128.32,31.14,36.26,"GDDR, HBM Memory",7,6,6,Mobile Graphics,"Defense, Financial Services, Gaming",Strong partnerships,Narrow product range,Enhanced power efficiency technologies
AMD,21.3,13.78,7.47,"Instinct, Radeon, FirePro",5,6,6,AI Acceleration,AI/Compute,High power efficiency,Complex integration,Acquired Mellanox
Micron,5.54,53.52,29.59,"HBM Memory, GDDR",6,8,8,Deep Learning,"Media & Entertainment, Telecommunications, Financial Services",High power efficiency,Software compatibility issues,Launched new RTX 40 series
Apple,63.78,69.43,6.78,"A15 GPU, A14 GPU",4,10,7,VR/AR,IoT,Leading performance,Software compatibility issues,Partnered with automotive leaders
Google,129.94,36.98,27.14,Coral Edge TPU,1,4,8,Deep Learning,"Mobile, IoT",Strong developer ecosystem,High prices,Launched new RTX 40 series
Micron,60.14,63.69,19.55,"GDDR, HBM Memory",10,7,10,Multi-GPU Scaling,Consumer Electronics,Scalable architectures,Software compatibility issues,Partnered with automotive leaders
Broadcom,157.36,52.67,27.1,"StrataDNX, Tomahawk",8,5,4,Deep Learning,"Automotive, Enterprise",Scalable architectures,Limited mobile presence,Released latest mobile GPU
Texas Instruments,51.08,33.88,9.31,"DSP, TMS320",1,3,10,Cloud Gaming,"Cloud, Media & Entertainment",Leading performance,Narrow product range,Debuted multi-GPU scaling tech
NXP Semiconductors,71.78,27.74,38.31,"i.MX GPU, Layerscape",4,6,7,High Performance Computing,Healthcare,Advanced AI capabilities,Software compatibility issues,Acquired Mellanox
Xilinx,116.94,47.6,7.33,"Versal, Alveo",7,8,5,Deep Learning,"Cloud, Education, Healthcare, IoT",Diverse product applications,High prices,Released latest mobile GPU
Intel,136.98,49.68,33.44,"HD Graphics, Xe, Arc",6,2,3,5G Integration,"Education, Healthcare",Leading performance,High power consumption,Upgraded software development kits
Sony,19.22,74.98,27.59,"PlayStation GPU, Imagination GPU",1,9,6,5G Integration,"Enterprise, Automotive",Diverse product applications,Security vulnerabilities,Upgraded software development kits
Nvidia,12.62,30.38,35.63,"TITAN, RTX",1,9,9,Low Latency Streaming,"Cloud, Defense",Advanced AI capabilities,High prices,Acquired Mellanox
IBM,154.44,32.55,36.51,"PowerAI, Z Series, Watson GPU",7,1,8,5G Integration,Data Center,Strong partnerships,Late to market in some segments,Enhanced power efficiency technologies
NXP Semiconductors,169.16,45.74,35.29,"i.MX GPU, Layerscape",8,10,3,Blockchain Security,"AI/Compute, Data Center, Media & Entertainment, Healthcare",Diverse product applications,Limited mobile presence,Debuted multi-GPU scaling tech
Apple,68.7,33.6,28.14,A15 GPU,7,2,10,Neural Networks,"Automotive, Consumer Electronics, Media & Entertainment, Mobile",Cutting-edge technology,Complex integration,Introduced AI-focused GPUs
Marvell,42.32,28.01,38.36,"OCTEON, Alaska",3,5,5,Multi-GPU Scaling,"Automotive, Consumer Electronics, AI/Compute",Strong brand recognition,Inconsistent performance,Expanded cloud gaming services
Qualcomm,126.56,15.96,26.5,"Snapdragon GPU, Adreno",10,7,4,5G Integration,"Automotive, Gaming, Defense",Advanced AI capabilities,Security vulnerabilities,Announced new AI research lab
Xilinx,163.52,26.59,14.64,"Alveo, Versal",9,9,9,Neural Networks,"Consumer Electronics, Automotive, Cloud",Strong brand recognition,Security vulnerabilities,Acquired Mellanox
MediaTek,73.34,43.32,35.68,"Dimensity, Mali GPU",2,2,3,VR/AR,"Telecommunications, Consumer Electronics",High power efficiency,Security vulnerabilities,Introduced AI-focused GPUs
Huawei,31.94,53.64,30.82,"Kirin GPU, Ascend AI",10,2,6,Low Latency Streaming,"Data Center, Financial Services, Defense, Education",Cutting-edge technology,High power consumption,Launched new RTX 40 series
Broadcom,98.12,32.58,4.96,"Tomahawk, StrataDNX, VideoCore",6,4,3,Ray Tracing,"Data Center, Defense, Education",Innovative R&D,Software compatibility issues,Expanded cloud gaming services
Marvell,116.06,38.54,32.18,"Alaska, OCTEON",7,4,4,Low Latency Streaming,AI/Compute,Cutting-edge technology,Late to market in some segments,Launched new RTX 40 series
Google,152.06,19.49,24.44,TPU,3,3,4,Edge Computing,"Education, IoT",Leading performance,Software compatibility issues,Expanded cloud gaming services
Marvell,6.94,60.57,36.45,"Alaska, OCTEON",5,9,1,Neural Networks,"Consumer Electronics, Cloud, Education",Strong brand recognition,Supply chain constraints,Announced new AI research lab
ASRock,118.64,14.41,14.96,Phantom Gaming,1,2,10,High Performance Computing,"IoT, Data Center",Global market presence,Narrow product range,Released latest mobile GPU
ASRock,94.08,49.7,31.94,"Phantom Gaming, X570 GPU",6,9,5,5G Integration,"Defense, Financial Services, Data Center, Gaming",Strong developer ecosystem,High prices,Acquired Mellanox
IBM,78.54,68.26,37.07,"Z Series, PowerAI, Watson GPU",6,3,5,5G Integration,"Cloud, Financial Services, Enterprise, Defense",Strong brand recognition,High prices,Upgraded software development kits
AMD,5.8,52.32,22.51,"Radeon, Instinct, Vega",1,5,5,Energy Efficiency,"Gaming, Defense, Enterprise, Media & Entertainment",Leading performance,Inconsistent performance,Upgraded software development kits
Huawei,68.14,23.12,28.24,"Kirin GPU, Ascend AI",5,2,10,Energy Efficiency,"Enterprise, Telecommunications, IoT, Healthcare",Wide product portfolio,Limited mobile presence,Introduced AI-focused GPUs
Google,41.3,31.93,13.55,"Coral Edge TPU, TPU",3,7,5,AI Acceleration,"Healthcare, Mobile, Gaming, Consumer Electronics",Robust software support,Inconsistent performance,Announced new AI research lab
Sony,108.44,19.99,19.6,"Imagination GPU, PlayStation GPU",8,1,8,Ray Tracing,IoT,Leading performance,Inconsistent performance,Enhanced power efficiency technologies
Nvidia,53.72,15.54,14.28,Shield,2,4,5,Blockchain Security,"Defense, Automotive",Advanced AI capabilities,Software compatibility issues,Integrated 5G with GPUs
Analog Devices,154.92,0.49,34.17,"Blackfin, SHARC",3,10,7,Blockchain Security,"Healthcare, Cloud, AI/Compute, Education",Strong developer ecosystem,Smaller developer base,Acquired Mellanox
Apple,169.18,48.67,36.69,A15 GPU,1,3,7,Low Latency Streaming,"Consumer Electronics, Telecommunications, Education",Diverse product applications,High power consumption,Acquired Mellanox
Analog Devices,75.88,47.69,1.89,Blackfin,9,3,6,FPGA Optimization,Gaming,Cutting-edge technology,Narrow product range,Launched new RTX 40 series
NXP Semiconductors,144.06,17.75,3.69,"Layerscape, i.MX GPU",7,1,6,Quantum Computing,Mobile,Robust software support,Narrow product range,Introduced AI-focused GPUs
AMD,165.0,19.99,26.89,Instinct,10,1,9,Blockchain Security,Cloud,Advanced AI capabilities,Narrow product range,Expanded cloud gaming services
ARM,63.1,36.67,14.29,"Neoverse, Ethos, Mali",10,9,1,Multi-GPU Scaling,"IoT, Consumer Electronics, Automotive",Wide product portfolio,Complex integration,Expanded cloud gaming services
Texas Instruments,136.2,5.98,16.07,"TMS320, DSP",7,9,10,Energy Efficiency,"Mobile, Defense, Enterprise",Diverse product applications,High power consumption,Launched new RTX 40 series
MediaTek,158.64,7.4,1.9,Mali GPU,8,6,6,Ray Tracing,"Financial Services, Data Center, Consumer Electronics",Diverse product applications,Limited AI focus,Announced new AI research lab
ARM,106.96,24.85,36.57,Neoverse,7,5,3,Cloud Gaming,"AI/Compute, Consumer Electronics, Media & Entertainment, IoT",Wide product portfolio,Inconsistent performance,Launched new RTX 40 series
Samsung,76.38,19.64,13.18,"Exynos GPU, RDNA",9,8,10,Multi-GPU Scaling,Automotive,Scalable architectures,High prices,Launched new RTX 40 series
Texas Instruments,105.36,54.93,29.01,DSP,2,6,7,Cloud Gaming,"Financial Services, IoT, Cloud",Strong brand recognition,High prices,Announced new AI research lab
Broadcom,155.82,61.9,26.11,"Tomahawk, VideoCore",10,6,4,Edge Computing,Defense,Strong brand recognition,Supply chain constraints,Released VR-optimized hardware
Samsung,97.8,58.41,10.94,"RDNA, Exynos GPU, Mali GPU",5,10,4,Energy Efficiency,"Enterprise, Financial Services, Defense, Education",Diverse product applications,Smaller developer base,Launched new RTX 40 series
Huawei,76.64,12.98,14.99,Ascend AI,2,7,6,Edge Computing,"Enterprise, Telecommunications, Defense, AI/Compute",Strong partnerships,Limited mobile presence,Partnered with automotive leaders
AMD,5.88,44.11,9.64,Instinct,6,7,8,Cloud Gaming,IoT,Wide product portfolio,Narrow product range,Expanded cloud gaming services
ASRock,38.2,71.77,11.32,"X570 GPU, Phantom Gaming",8,7,2,Edge Computing,"Enterprise, Financial Services, Gaming, Telecommunications",Strong brand recognition,Complex integration,Upgraded software development kits
Google,97.78,11.5,19.69,"Coral Edge TPU, Tensor",4,8,9,High Performance Computing,"Mobile, Automotive",Diverse product applications,Software compatibility issues,Debuted multi-GPU scaling tech
Qualcomm,23.44,62.28,33.36,"Snapdragon GPU, Kryo",4,9,10,Ray Tracing,"Healthcare, Automotive, AI/Compute, Gaming",Global market presence,Late to market in some segments,Launched new RTX 40 series
Qualcomm,93.44,71.96,20.68,Snapdragon GPU,7,8,6,Deep Learning,"IoT, Consumer Electronics, Healthcare, Media & Entertainment",High power efficiency,Security vulnerabilities,Enhanced power efficiency technologies
NXP Semiconductors,71.3,36.21,19.47,"Layerscape, i.MX GPU",4,2,4,Low Latency Streaming,IoT,Strong partnerships,Late to market in some segments,Launched new RTX 40 series
Micron,138.96,42.72,37.94,GDDR,6,9,7,Neural Networks,"Telecommunications, Media & Entertainment",Advanced AI capabilities,Supply chain constraints,Enhanced power efficiency technologies
Sony,132.94,68.28,32.56,"PlayStation GPU, Imagination GPU",8,6,4,Deep Learning,"Enterprise, Mobile",Strong partnerships,Complex integration,Expanded cloud gaming services
Marvell,43.52,69.9,30.3,"Alaska, OCTEON",1,8,1,Ray Tracing,Data Center,Advanced AI capabilities,Late to market in some segments,Introduced AI-focused GPUs
Sony,65.2,47.73,6.95,"Imagination GPU, PlayStation GPU",4,9,10,FPGA Optimization,"Consumer Electronics, Cloud, Media & Entertainment",Robust software support,Security vulnerabilities,Released VR-optimized hardware
Apple,44.34,62.42,0.8,A15 GPU,10,10,5,Cloud Gaming,Telecommunications,Strong developer ecosystem,Narrow product range,Integrated 5G with GPUs
ARM,38.5,24.23,39.64,"Neoverse, Mali",5,1,9,High Performance Computing,Mobile,Global market presence,High prices,Expanded cloud gaming services
AMD,28.64,35.66,14.12,"Ryzen Graphics, Instinct, FirePro",1,1,9,Multi-GPU Scaling,"Data Center, Healthcare, Consumer Electronics, Telecommunications",Strong developer ecosystem,High prices,Introduced AI-focused GPUs
Huawei,134.54,28.98,20.54,"Kirin GPU, Ascend AI",7,5,8,Mobile Graphics,Mobile,Strong developer ecosystem,Limited mobile presence,Debuted multi-GPU scaling tech
Marvell,106.76,47.66,30.16,"Alaska, OCTEON",7,3,7,Low Latency Streaming,"Automotive, Telecommunications, Healthcare, Consumer Electronics",Global market presence,High prices,Released latest mobile GPU
Qualcomm,33.14,54.53,27.26,"Snapdragon GPU, Kryo",5,10,7,Neural Networks,"Healthcare, Gaming",Competitive pricing,Narrow product range,Integrated 5G with GPUs
Google,110.52,27.5,17.95,"Tensor, Coral Edge TPU",2,7,9,Deep Learning,"Enterprise, Healthcare, Consumer Electronics",Global market presence,Late to market in some segments,Released latest mobile GPU
Nvidia,81.96,61.41,17.37,Shield,3,6,9,5G Integration,"Gaming, Financial Services",Innovative R&D,Limited AI focus,Enhanced power efficiency technologies
Xilinx,101.86,0.28,23.48,"Versal, Alveo",10,10,1,Low Latency Streaming,"Mobile, Financial Services, Consumer Electronics",Wide product portfolio,Narrow product range,Expanded cloud gaming services
Texas Instruments,75.42,14.29,29.36,"DSP, TMS320",2,7,2,Autonomous Vehicles,"Telecommunications, Defense",High power efficiency,Inconsistent performance,Upgraded software development kits
Huawei,41.32,35.83,4.45,"Ascend AI, Kirin GPU",5,5,6,Neural Networks,"Media & Entertainment, Telecommunications, AI/Compute, Cloud",Innovative R&D,Late to market in some segments,Upgraded software development kits
NXP Semiconductors,109.32,29.36,10.5,"i.MX GPU, Layerscape",4,8,6,Mobile Graphics,"Healthcare, Telecommunications",Strong developer ecosystem,Limited mobile presence,Expanded cloud gaming services
Nvidia,168.24,48.17,33.29,GeForce,3,7,1,Quantum Computing,Healthcare,Advanced AI capabilities,Smaller developer base,Released VR-optimized hardware
Sony,124.04,32.09,17.75,Imagination GPU,7,10,4,Ray Tracing,Consumer Electronics,Innovative R&D,Limited mobile presence,Debuted multi-GPU scaling tech
Apple,80.96,6.29,37.35,M2 GPU,5,5,6,Quantum Computing,Consumer Electronics,Leading performance,Complex integration,Upgraded software development kits
AMD,2.08,62.71,15.37,Vega,4,3,2,FPGA Optimization,"Education, Gaming, Financial Services, Telecommunications",Scalable architectures,Complex integration,Announced new AI research lab
NXP Semiconductors,141.74,14.14,16.84,"i.MX GPU, Layerscape",2,4,9,Edge Computing,"Mobile, IoT",Diverse product applications,Security vulnerabilities,Announced new AI research lab
Nvidia,98.24,41.25,30.92,"TITAN, RTX",8,2,6,Neural Networks,Media & Entertainment,Diverse product applications,Limited AI focus,Launched new RTX 40 series
NXP Semiconductors,42.46,20.67,7.7,"Layerscape, i.MX GPU",4,10,6,Autonomous Vehicles,"Enterprise, Defense, IoT",Wide product portfolio,Complex integration,Upgraded software development kits
Analog Devices,147.34,30.77,2.65,"Blackfin, SHARC",2,3,8,Quantum Computing,Defense,Cutting-edge technology,Limited mobile presence,Released latest mobile GPU
Nvidia,24.88,15.26,16.65,GeForce,9,2,6,Autonomous Vehicles,Cloud,Competitive pricing,Complex integration,Expanded cloud gaming services
Intel,64.84,59.71,27.64,Xe,1,3,7,FPGA Optimization,"Defense, IoT",Innovative R&D,Complex integration,Launched new RTX 40 series
Marvell,42.5,17.57,36.23,"Alaska, OCTEON",1,7,7,Multi-GPU Scaling,"Mobile, Financial Services, Education",Innovative R&D,Software compatibility issues,Partnered with automotive leaders
Broadcom,130.12,19.28,7.39,Tomahawk,1,4,3,VR/AR,"Gaming, IoT, Education, Cloud",Robust software support,Late to market in some segments,Upgraded software development kits
ASRock,107.48,68.46,39.81,"X570 GPU, Phantom Gaming",10,10,6,Deep Learning,"Education, Defense",Diverse product applications,Limited mobile presence,Released VR-optimized hardware
IBM,104.98,37.82,17.39,Watson GPU,10,8,3,High Performance Computing,"Consumer Electronics, Defense, AI/Compute, Media & Entertainment",Diverse product applications,Late to market in some segments,Introduced AI-focused GPUs
Google,30.28,7.89,19.71,"TPU, Tensor",7,10,2,Multi-GPU Scaling,"Data Center, Cloud",Global market presence,Software compatibility issues,Upgraded software development kits
Qualcomm,29.2,61.24,13.86,"Kryo, Adreno",10,4,3,AI Acceleration,Telecommunications,Scalable architectures,Limited AI focus,Introduced AI-focused GPUs
Texas Instruments,117.28,15.96,32.3,DSP,8,5,10,Cloud Gaming,"Media & Entertainment, Automotive, Data Center, Cloud",Diverse product applications,Late to market in some segments,Announced new AI research lab
MediaTek,130.88,72.06,27.82,Mali GPU,9,3,8,Neural Networks,"AI/Compute, Mobile, Defense",Innovative R&D,Limited mobile presence,Debuted multi-GPU scaling tech
Qualcomm,163.24,63.48,28.57,"Kryo, Snapdragon GPU",10,2,8,Cloud Gaming,"Defense, Media & Entertainment, Enterprise",High power efficiency,Security vulnerabilities,Released VR-optimized hardware
Apple,91.86,59.14,25.88,"A15 GPU, M1 GPU, M2 GPU",6,2,8,Quantum Computing,Mobile,Diverse product applications,Late to market in some segments,Acquired Mellanox
Qualcomm,144.4,42.08,33.28,"Adreno, Snapdragon GPU",5,1,4,Low Latency Streaming,"Data Center, Gaming",Scalable architectures,Smaller developer base,Announced new AI research lab
Analog Devices,121.98,24.76,11.74,"Blackfin, SHARC",7,2,1,Neural Networks,"Enterprise, Data Center, Financial Services, Telecommunications",Scalable architectures,Limited mobile presence,Upgraded software development kits
Qualcomm,98.74,3.38,8.29,"Adreno, Snapdragon GPU, Kryo",7,8,10,Energy Efficiency,"Automotive, AI/Compute, Media & Entertainment, Consumer Electronics",Strong developer ecosystem,Complex integration,Expanded cloud gaming services
Samsung,23.24,13.5,31.01,RDNA,7,6,2,FPGA Optimization,"Media & Entertainment, Education, Healthcare",Robust software support,Limited AI focus,Released latest mobile GPU
ASRock,60.36,3.7,14.78,"X570 GPU, Phantom Gaming",5,4,6,Low Latency Streaming,"Financial Services, Gaming",Global market presence,Inconsistent performance,Released latest mobile GPU
Apple,35.86,49.87,6.15,"M1 GPU, A15 GPU, A14 GPU",10,2,1,Cloud Gaming,"Data Center, Education, Consumer Electronics, Enterprise",Robust software support,Security vulnerabilities,Debuted multi-GPU scaling tech
NXP Semiconductors,95.4,26.83,35.99,"i.MX GPU, Layerscape",8,2,4,Energy Efficiency,Gaming,Strong brand recognition,High prices,Announced new AI research lab
Xilinx,46.48,27.93,17.07,"Alveo, Versal",3,7,6,Neural Networks,"IoT, Consumer Electronics",Robust software support,High power consumption,Upgraded software development kits
Huawei,96.88,70.23,3.42,"Ascend AI, Kirin GPU",10,10,6,High Performance Computing,"Consumer Electronics, Media & Entertainment, Defense, Telecommunications",Robust software support,Inconsistent performance,Partnered with automotive leaders
AMD,154.26,62.56,6.46,"Instinct, FirePro, Radeon",8,10,6,FPGA Optimization,IoT,Advanced AI capabilities,High prices,Debuted multi-GPU scaling tech
Huawei,4.52,50.71,31.52,"Ascend AI, Kirin GPU",1,7,8,High Performance Computing,"Enterprise, Telecommunications, Gaming",Robust software support,Late to market in some segments,Enhanced power efficiency technologies
Texas Instruments,126.18,63.51,21.05,"DSP, TMS320",1,8,9,Autonomous Vehicles,"AI/Compute, Mobile, Enterprise",Global market presence,High prices,Partnered with automotive leaders
ARM,144.7,39.24,7.89,"Neoverse, Ethos, Mali",7,5,5,Autonomous Vehicles,Automotive,Innovative R&D,Limited mobile presence,Announced new AI research lab
AMD,155.44,68.42,16.37,"Radeon, Vega",10,5,9,Multi-GPU Scaling,"Gaming, Enterprise, IoT",Leading performance,High prices,Introduced AI-focused GPUs
ASRock,25.66,11.92,22.39,X570 GPU,2,8,3,Ray Tracing,"Mobile, Healthcare, Data Center",Strong partnerships,Security vulnerabilities,Announced new AI research lab
NXP Semiconductors,126.76,15.55,4.16,Layerscape,1,10,4,Ray Tracing,"Mobile, AI/Compute",Wide product portfolio,Limited AI focus,Expanded cloud gaming services
Texas Instruments,26.84,39.06,19.54,"TMS320, DSP",4,1,4,5G Integration,"Enterprise, Consumer Electronics, Healthcare",Strong brand recognition,Supply chain constraints,Released latest mobile GPU
Analog Devices,36.5,46.97,18.78,"Blackfin, SHARC",10,2,8,VR/AR,"Automotive, Healthcare, Gaming, Cloud",Leading performance,Inconsistent performance,Acquired Mellanox
NXP Semiconductors,100.5,61.89,32.26,i.MX GPU,2,9,10,FPGA Optimization,Defense,Scalable architectures,Smaller developer base,Enhanced power efficiency technologies
Marvell,58.62,73.39,7.02,"OCTEON, Alaska",4,5,5,5G Integration,"Cloud, Media & Entertainment",Leading performance,High prices,Partnered with automotive leaders
NXP Semiconductors,152.88,2.5,22.97,Layerscape,1,10,1,Low Latency Streaming,"Gaming, Defense, Automotive",Advanced AI capabilities,Smaller developer base,Enhanced power efficiency technologies
Samsung,21.38,65.53,31.09,Exynos GPU,2,7,2,Blockchain Security,"Mobile, AI/Compute, Gaming, Telecommunications",Leading performance,Limited AI focus,Upgraded software development kits
AMD,24.72,12.31,24.74,"Vega, Radeon",8,5,5,Energy Efficiency,"Consumer Electronics, Data Center",Leading performance,High prices,Debuted multi-GPU scaling tech
ARM,154.04,68.75,5.61,Mali,4,5,5,Mobile Graphics,"Financial Services, Cloud, Defense, Consumer Electronics",Diverse product applications,High power consumption,Released latest mobile GPU
AMD,61.44,8.61,37.02,Instinct,4,2,6,Ray Tracing,"Education, Media & Entertainment",Strong partnerships,Complex integration,Released latest mobile GPU
ARM,91.96,32.43,22.94,"Mali, Neoverse",3,9,6,Low Latency Streaming,"IoT, Healthcare, Defense, Education",Diverse product applications,High prices,Debuted multi-GPU scaling tech
Google,145.66,65.69,6.18,"Tensor, TPU",8,4,5,Multi-GPU Scaling,"Enterprise, Financial Services, Media & Entertainment, Telecommunications",Leading performance,Late to market in some segments,Acquired Mellanox
Apple,95.32,12.98,18.11,M1 GPU,7,4,4,AI Acceleration,"Cloud, Financial Services, Gaming",Advanced AI capabilities,Limited mobile presence,Integrated 5G with GPUs
IBM,81.58,53.62,34.69,Watson GPU,6,1,2,Neural Networks,"Mobile, Healthcare",Scalable architectures,High prices,Launched new RTX 40 series
Texas Instruments,48.22,64.21,13.05,"DSP, TMS320",3,6,8,Cloud Gaming,Cloud,Innovative R&D,Complex integration,Introduced AI-focused GPUs
Broadcom,36.38,63.2,17.76,"VideoCore, Tomahawk, StrataDNX",2,8,4,Energy Efficiency,"Healthcare, Financial Services",Leading performance,Inconsistent performance,Expanded cloud gaming services
Analog Devices,74.5,11.66,11.11,SHARC,1,1,3,VR/AR,"Data Center, Education",Advanced AI capabilities,Inconsistent performance,Enhanced power efficiency technologies
Marvell,27.76,10.43,22.8,"OCTEON, Alaska",3,2,10,AI Acceleration,"Education, AI/Compute",Diverse product applications,Complex integration,Enhanced power efficiency technologies
AMD,126.24,39.97,22.41,Instinct,8,3,4,Quantum Computing,"Gaming, Enterprise, AI/Compute",Competitive pricing,Software compatibility issues,Enhanced power efficiency technologies
Huawei,98.24,10.08,25.73,"Kirin GPU, Ascend AI",6,7,9,Multi-GPU Scaling,"Data Center, Financial Services, Automotive, Enterprise",Cutting-edge technology,Limited AI focus,Released latest mobile GPU
Intel,114.46,65.54,31.45,"HD Graphics, Iris",3,10,3,5G Integration,"Financial Services, AI/Compute",Advanced AI capabilities,Late to market in some segments,Introduced AI-focused GPUs
Intel,34.08,35.8,38.88,"Optane, Arc, HD Graphics",7,6,10,Deep Learning,"Healthcare, Data Center",High power efficiency,Inconsistent performance,Launched new RTX 40 series
Marvell,15.7,7.71,10.96,"OCTEON, Alaska",4,4,1,Neural Networks,"Mobile, Gaming, Cloud, IoT",Innovative R&D,Narrow product range,Partnered with automotive leaders
Broadcom,132.82,56.71,31.04,VideoCore,5,4,3,Edge Computing,"Cloud, Enterprise, Media & Entertainment, Healthcare",Advanced AI capabilities,Inconsistent performance,Expanded cloud gaming services
Nvidia,123.8,33.23,28.42,"GeForce, Shield, Quadro",10,9,8,Energy Efficiency,"Financial Services, Mobile",Strong brand recognition,High prices,Acquired Mellanox
Qualcomm,144.4,65.21,7.01,"Snapdragon GPU, Kryo",2,3,9,Mobile Graphics,"Telecommunications, Healthcare",Competitive pricing,Limited AI focus,Partnered with automotive leaders
Intel,133.1,55.41,20.64,"HD Graphics, Arc, Iris",7,2,3,VR/AR,"Education, Consumer Electronics, Media & Entertainment, AI/Compute",Innovative R&D,Limited mobile presence,Debuted multi-GPU scaling tech
Samsung,66.1,47.48,10.55,"RDNA, Exynos GPU",8,6,1,VR/AR,"Telecommunications, Education",Global market presence,High prices,Debuted multi-GPU scaling tech
AMD,168.88,19.02,10.51,"Radeon, Vega, Ryzen Graphics",9,2,9,Energy Efficiency,"Cloud, Mobile",Innovative R&D,Inconsistent performance,Launched new RTX 40 series
Analog Devices,93.9,38.93,15.01,"Blackfin, SHARC",2,4,7,Energy Efficiency,"Healthcare, Data Center, Automotive",Wide product portfolio,Smaller developer base,Released VR-optimized hardware
Analog Devices,132.88,50.29,5.5,"Blackfin, SHARC",5,7,5,Deep Learning,"Gaming, Automotive, Healthcare, Media & Entertainment",Innovative R&D,Inconsistent performance,Debuted multi-GPU scaling tech
ARM,94.22,5.9,17.63,"Ethos, Mali",7,3,1,AI Acceleration,"Healthcare, Enterprise, Defense, Automotive",Robust software support,Supply chain constraints,Acquired Mellanox
IBM,84.76,0.45,14.75,Z Series,3,8,4,High Performance Computing,"Financial Services, Enterprise",Wide product portfolio,Inconsistent performance,Enhanced power efficiency technologies
NXP Semiconductors,20.98,42.64,11.87,"i.MX GPU, Layerscape",3,10,5,Multi-GPU Scaling,"Mobile, Media & Entertainment, IoT, Education",Cutting-edge technology,Software compatibility issues,Upgraded software development kits
Qualcomm,167.44,50.54,32.8,Adreno,5,1,5,Energy Efficiency,"AI/Compute, Enterprise",Strong developer ecosystem,Late to market in some segments,Upgraded software development kits
Intel,122.32,59.11,2.44,"Optane, Iris, Arc",7,6,2,Cloud Gaming,AI/Compute,Scalable architectures,Limited mobile presence,Debuted multi-GPU scaling tech
Marvell,154.1,9.63,37.94,Alaska,2,2,6,Deep Learning,"Cloud, Media & Entertainment, IoT",Leading performance,Complex integration,Debuted multi-GPU scaling tech
Samsung,71.8,72.0,25.48,"Mali GPU, RDNA, Exynos GPU",9,5,5,FPGA Optimization,"Enterprise, Financial Services, AI/Compute, Gaming",Diverse product applications,Late to market in some segments,Released VR-optimized hardware
Broadcom,70.2,5.37,31.13,"StrataDNX, VideoCore, Tomahawk",5,2,3,Multi-GPU Scaling,"Enterprise, IoT",Innovative R&D,High power consumption,Partnered with automotive leaders
Apple,101.6,67.34,26.99,"M2 GPU, M1 GPU",8,3,3,Mobile Graphics,"Cloud, Education, Enterprise, AI/Compute",Robust software support,High prices,Launched new RTX 40 series
Google,30.46,21.73,14.61,Coral Edge TPU,7,3,9,Blockchain Security,Cloud,Diverse product applications,Limited AI focus,Expanded cloud gaming services
Sony,96.8,24.14,28.45,"Imagination GPU, PlayStation GPU",10,6,10,Energy Efficiency,"Enterprise, Data Center",Strong partnerships,Software compatibility issues,Introduced AI-focused GPUs
Sony,123.48,50.73,17.23,Imagination GPU,5,5,7,Multi-GPU Scaling,AI/Compute,Strong partnerships,Inconsistent performance,Partnered with automotive leaders
Broadcom,46.98,42.06,22.55,"StrataDNX, Tomahawk",10,10,10,5G Integration,AI/Compute,Innovative R&D,Security vulnerabilities,Debuted multi-GPU scaling tech
IBM,133.58,49.96,13.45,"Z Series, PowerAI, Watson GPU",10,8,2,Mobile Graphics,"Automotive, Consumer Electronics, Mobile, Financial Services",Competitive pricing,Security vulnerabilities,Released latest mobile GPU
Texas Instruments,146.1,7.16,25.26,"TMS320, DSP",8,4,9,5G Integration,"Telecommunications, Defense",Robust software support,High prices,Expanded cloud gaming services
